year,subject_area_abbrev,country,article_amount
2018,ENGI,Armenia,19
2018,MATH,Armenia,4
2021,PHYS,Armenia,82
2019,CHEM,Australia,7
2019,EART,Australia,3
2019,NEUR,Australia,28
2020,DECI,Australia,2
2020,MEDI,Australia,90
2020,PHAR,Australia,17
2021,AGRI,Australia,10
2021,BIOC,Australia,34
2021,BUSI,Australia,7
2021,MEDI,Australia,106
2022,ENGI,Australia,13
2022,PHYS,Australia,54
2023,BUSI,Australia,13
2019,PHYS,Austria,117
2019,PHYS,Austria,117
2020,MULT,Austria,2
2021,BIOC,Austria,13
2023,NURS,Austria,1
2023,PHYS,Austria,33
2018,PHYS,Belarus,146
2019,MATH,Belarus,2
2018,PHYS,Belgium,152
2018,PHYS,Belgium,152
2019,PHYS,Belgium,122
2021,NEUR,Belgium,4
2022,ENGI,Belgium,10
2022,MEDI,Belgium,18
2022,PHYS,Belgium,70
2023,PHYS,Belgium,31
2022,AGRI,Bolivia,3
2018,ENGI,Brazil,19
2018,PHYS,Brazil,147
2019,MULT,Brazil,1
2020,PHYS,Brazil,94
2021,ENGI,Brazil,22
2021,MEDI,Brazil,49
2021,PHYS,Brazil,84
2022,DENT,Brazil,2
2022,IMMU,Brazil,2
2023,MEDI,Brazil,43
2023,PHYS,Brazil,31
2018,PHYS,Bulgaria,146
2018,PSYC,Bulgaria,1
2021,PHYS,Bulgaria,72
2022,AGRI,Bulgaria,1
2022,ENVI,Bulgaria,2
2022,PHYS,Bulgaria,63
2023,PHAR,Bulgaria,3
2019,NEUR,Canada,11
2023,CHEM,Chile,2
2023,DENT,Chile,4
2019,PHYS,China,126
2019,PHYS,China,126
2020,PHYS,China,121
2021,ENVI,China,29
2021,PHYS,China,113
2022,MATE,China,28
2022,PHAR,China,9
2022,PHYS,China,96
2023,CENG,China,28
2023,CHEM,China,36
2023,MATE,China,25
2023,MEDI,China,55
2023,MULT,China,12
2023,PHYS,China,45
2023,PHYS,China,45
2018,PHYS,Colombia,146
2018,PHYS,Colombia,146
2019,PHYS,Colombia,117
2019,PHYS,Colombia,117
2020,PHYS,Colombia,91
2022,PHYS,Colombia,63
2018,PHYS,Croatia,148
2019,PHYS,Croatia,116
2020,PHYS,Croatia,91
2020,PHYS,Croatia,91
2021,PSYC,Croatia,4
2022,PHYS,Cyprus,63
2018,PHYS,Czech Republic,146
2018,PHYS,Czech Republic,146
2019,PHYS,Czech Republic,116
2020,MATE,Czech Republic,1
2020,MATH,Czech Republic,7
2021,PHYS,Czech Republic,80
2022,PHYS,Czech Republic,67
2023,MEDI,Democratic Republic Congo,3
2018,AGRI,Denmark,6
2022,MATE,Denmark,1
2018,ENGI,Ecuador,19
2019,ENGI,Ecuador,21
2020,ENGI,Ecuador,14
2020,PHYS,Ecuador,91
2020,PHYS,Ecuador,91
2021,PHYS,Ecuador,74
2021,PHYS,Ecuador,74
2021,PHYS,Egypt,72
2021,PHYS,Egypt,72
2021,PHYS,Egypt,72
2018,PHYS,Estonia,146
2021,PHYS,Estonia,74
2018,PHYS,Finland,146
2018,PHYS,Finland,146
2019,PHYS,Finland,117
2020,PHYS,Finland,91
2019,CENG,France,7
2019,CHEM,France,8
2020,CENG,France,5
2020,MEDI,France,30
2020,MEDI,France,30
2020,VETE,France,2
2022,MEDI,France,35
2018,PHYS,Georgia,145
2018,PHYS,Georgia,145
2018,PHYS,Georgia,145
2020,PHYS,Georgia,88
2019,PHYS,Germany,123
2020,IMMU,Germany,5
2021,PHYS,Germany,90
2021,PHYS,Germany,90
2022,MEDI,Germany,55
2022,MULT,Germany,10
2023,BIOC,Germany,19
2021,CHEM,Greece,3
2021,ENVI,Hong Kong,5
2018,MEDI,Hungary,1
2018,PHYS,Hungary,146
2022,MEDI,Hungary,7
2022,PHYS,Hungary,63
2023,PSYC,Hungary,3
2018,PSYC,India,2
2019,PHYS,India,120
2020,PHYS,India,101
2021,IMMU,India,10
2021,MEDI,India,64
2021,PHYS,India,90
2023,ENGI,India,34
2018,PHYS,Iran,146
2020,AGRI,Iran,2
2020,PHYS,Iran,95
2021,CHEM,Iran,3
2023,PHYS,Iran,32
2021,MEDI,Iraq,10
2019,PHYS,Ireland,117
2022,NEUR,Ireland,3
2022,SOCI,Ireland,3
2018,ENGI,Italy,19
2018,MEDI,Italy,10
2018,PHYS,Italy,152
2019,ENGI,Italy,21
2020,VETE,Italy,5
2021,PHYS,Italy,88
2022,PHYS,Italy,75
2022,PHYS,Italy,75
2022,PSYC,Italy,7
2018,CHEM,Japan,42
2018,MATE,Japan,43
2018,PHAR,Japan,16
2019,ENER,Japan,12
2019,MATE,Japan,36
2019,MEDI,Japan,78
2019,MEDI,Japan,78
2020,BIOC,Japan,37
2021,DECI,Japan,3
2021,ENER,Japan,23
2021,ENVI,Japan,42
2021,MEDI,Japan,84
2022,CHEM,Japan,49
2023,BIOC,Japan,41
2023,MEDI,Japan,64
2019,NEUR,Kenya,1
2019,PHYS,Latvia,77
2021,PHYS,Latvia,79
2023,MATH,Lebanon,5
2019,PHYS,Lithuania,117
2022,MATH,Lithuania,2
2022,PHYS,Lithuania,63
2023,MEDI,Luxembourg,1
2019,ENGI,Malaysia,29
2020,ENGI,Malaysia,29
2020,PHYS,Malaysia,98
2020,PHYS,Malaysia,98
2021,PHYS,Malaysia,82
2022,AGRI,Malaysia,13
2022,ENVI,Malaysia,26
2022,NEUR,Malaysia,11
2022,PHYS,Malaysia,67
