year,country,article_amount,subject_area_abbrev
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Egypt,32.0,MULT
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Brazil,25.0,BIOC
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Japan,28.0,IMMU
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,Japan,27.0,CHEM
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,47.0,ENGI
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
