DOI,EID,Year,Abstract,Subjected Area,Country
10.1016/j.isci.2024.111292,2-s2.0-85209659281,2024,,MULT,Canada
10.1016/j.isci.2024.111377,2-s2.0-85209657200,2024,,MULT,China
10.1016/j.isci.2024.111347,2-s2.0-85209657050,2024,,MULT,India
10.1016/j.isci.2024.111345,2-s2.0-85209655100,2024,,MULT,United Kingdom
10.1016/j.isci.2024.111360,2-s2.0-85209649906,2024,,MULT,Netherlands
10.1016/j.isci.2024.111331,2-s2.0-85209649734,2024,,MULT,China
10.1016/j.isci.2024.111344,2-s2.0-85209639012,2024,,MULT,Singapore
10.1016/j.isci.2024.111333,2-s2.0-85209587830,2024,,MULT,Canada
10.1016/j.isci.2024.111333,2-s2.0-85209587830,2024,,MULT,Canada
10.1016/j.isci.2024.111287,2-s2.0-85209581043,2024,,MULT,Mexico
10.1016/j.isci.2024.111274,2-s2.0-85209578191,2024,,MULT,China
10.1016/j.isci.2024.111343,2-s2.0-85209576753,2024,,MULT,China
10.1016/j.isci.2024.111336,2-s2.0-85209576097,2024,,MULT,Belgium
10.1016/j.isci.2024.111336,2-s2.0-85209576097,2024,,MULT,Belgium
10.1016/j.isci.2024.111336,2-s2.0-85209576097,2024,,MULT,Belgium
10.1016/j.isci.2024.111308,2-s2.0-85209569093,2024,,MULT,United Kingdom
10.1016/j.isci.2024.111311,2-s2.0-85209565969,2024,,MULT,United States
10.1016/j.isci.2024.111358,2-s2.0-85209561428,2024,,MULT,Spain
10.1016/j.isci.2024.111244,2-s2.0-85209551076,2024,,MULT,Canada
10.1016/j.isci.2024.111323,2-s2.0-85209400447,2024,,MULT,United States
10.1016/j.isci.2024.111335,2-s2.0-85209399802,2024,,MULT,United States
10.1016/j.isci.2024.111326,2-s2.0-85209393844,2024,,MULT,United States
10.1016/j.isci.2024.111337,2-s2.0-85209391934,2024,,MULT,Brazil
10.1016/j.isci.2024.111337,2-s2.0-85209391934,2024,,MULT,Brazil
10.1016/j.isci.2024.111332,2-s2.0-85209368418,2024,,MULT,Hong Kong
10.1016/j.isci.2024.111310,2-s2.0-85209362212,2024,,MULT,Netherlands
10.1016/j.isci.2024.111320,2-s2.0-85209354018,2024,,MULT,Brazil
10.1016/j.isci.2024.111329,2-s2.0-85209351040,2024,,MULT,Germany
10.1016/j.heliyon.2024.e40831,2-s2.0-85210531541,2024,,MULT,Ethiopia
10.1016/j.heliyon.2024.e40727,2-s2.0-85210531122,2024,,MULT,Iran
10.1016/j.heliyon.2024.e40838,2-s2.0-85210531045,2024,,MULT,United States
10.1016/j.heliyon.2024.e39699,2-s2.0-85210530452,2024,,MULT,Malaysia
10.1016/j.heliyon.2024.e40611,2-s2.0-85210530208,2024,,MULT,United Kingdom
10.1016/j.heliyon.2024.e40611,2-s2.0-85210530208,2024,,MULT,Pakistan
10.1016/j.heliyon.2024.e40725,2-s2.0-85210529978,2024,,MULT,Czech Republic
10.1016/j.heliyon.2024.e40804,2-s2.0-85210529793,2024,,MULT,Pakistan
10.1016/j.heliyon.2024.e40661,2-s2.0-85210528870,2024,,MULT,Egypt
10.1016/j.heliyon.2024.e40051,2-s2.0-85210412865,2024,,MULT,Macao
10.1016/j.heliyon.2024.e40212,2-s2.0-85210410235,2024,,MULT,China
10.1016/j.heliyon.2024.e39287,2-s2.0-85210409079,2024,,MULT,China
10.1016/j.heliyon.2024.e40538,2-s2.0-85210406735,2024,,MULT,United Kingdom
10.1016/j.heliyon.2024.e39653,2-s2.0-85210402721,2024,,MULT,China
10.1016/j.heliyon.2024.e40742,2-s2.0-85210400596,2024,,MULT,Spain
10.1016/j.heliyon.2024.e40768,2-s2.0-85210399541,2024,,MULT,China
10.1016/j.heliyon.2024.e40768,2-s2.0-85210399541,2024,,MULT,China
10.1016/j.heliyon.2024.e40708,2-s2.0-85210398908,2024,,MULT,China
10.1016/j.heliyon.2024.e40708,2-s2.0-85210398908,2024,,MULT,China
10.1016/j.heliyon.2024.e40840,2-s2.0-85210397300,2024,,MULT,Thailand
10.1016/j.heliyon.2024.e39930,2-s2.0-85210394660,2024,,MULT,China
10.1016/j.heliyon.2024.e40749,2-s2.0-85210392963,2024,,MULT,Latvia
10.1016/j.heliyon.2024.e40691,2-s2.0-85210390199,2024,,MULT,Malaysia
10.1016/j.heliyon.2024.e39929,2-s2.0-85210389786,2024,,MULT,China
10.1016/j.heliyon.2024.e39723,2-s2.0-85210389572,2024,,MULT,China
10.1016/j.heliyon.2024.e40559,2-s2.0-85210387907,2024,,MULT,South Korea
10.1016/j.heliyon.2024.e39959,2-s2.0-85210382210,2024,,MULT,China
10.1016/j.heliyon.2024.e40549,2-s2.0-85210382194,2024,,MULT,China
10.1016/j.heliyon.2024.e40697,2-s2.0-85210376929,2024,,MULT,China
