year,country,article_amount,subject_area_abbrev
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Iran,50.0,AGRI
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,Indonesia,64.0,HEAL
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,United States,241.0,BIOC
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
2024,China,669.0,DECI
